id_unique_orig,idshift,Team_orig,Date,NHours,Start,End,StartId,EndId,idw,shiftid,Team,id_unique,seat
192578,28933,Team 7,24jun2013,78,24jun2013 08:00:00,24jun2013 15:30:00,23971,23986,35,124,2,427774,16
574141,79544,Team 10,19jun2013,96,19jun2013 17:00:00,20jun2013 00:30:00,23749,23764,86,302,14,432259,24
455530,62205,Team 5,21jun2013,97,21jun2013 17:00:00,22jun2013 02:00:00,23845,23863,67,229,14,432259,48
399447,56812,Team 12,23jun2013,95,23jun2013 20:00:00,24jun2013 06:00:00,23947,23967,60,209,14,432259,33
157283,24448,Team 15,18jun2013,93,18jun2013 06:30:00,18jun2013 17:00:00,23680,23701,29,101,1,447058,24
753239,105005,Team 13,19jun2013,68,19jun2013 23:00:00,20jun2013 05:00:00,23761,23773,113,402,1,447058,33
432259,60527,Team 14,21jun2013,16,21jun2013 20:30:00,21jun2013 23:30:00,23852,23858,65,220,1,447058,12
527408,74791,Team 5,24jun2013,97,24jun2013 07:00:00,24jun2013 17:00:00,23969,23989,80,282,1,447058,30
455584,63001,Team 8,18jun2013,103,18jun2013 13:00:00,18jun2013 22:30:00,23693,23712,68,233,5,455530,6
192578,28931,Team 7,20jun2013,78,20jun2013 13:00:00,20jun2013 22:30:00,23789,23808,35,122,5,455530,46
899601,132062,Team 4,22jun2013,49,22jun2013 11:00:00,22jun2013 19:30:00,23881,23898,141,497,5,455530,12
157283,24452,Team 15,24jun2013,93,24jun2013 14:30:00,24jun2013 22:30:00,23984,24000,29,105,5,455530,37
58138,10763,Team 9,19jun2013,85,19jun2013 06:30:00,19jun2013 17:00:00,23728,23749,10,30,8,455584,28
176945,27606,Team 1,20jun2013,72,20jun2013 23:00:00,21jun2013 07:00:00,23809,23825,33,115,8,455584,30
898912,130860,Team 1,22jun2013,79,22jun2013 20:30:00,23jun2013 06:30:00,23900,23920,139,493,8,455584,42
887296,129297,Team 14,24jun2013,91,24jun2013 23:30:00,25jun2013 00:30:00,24002,24004,137,485,8,455584,24
737874,102031,Team 11,19jun2013,55,19jun2013 06:30:00,19jun2013 11:30:00,23728,23738,109,389,9,465713,21
172469,26741,Team 12,21jun2013,86,21jun2013 06:30:00,21jun2013 17:00:00,23824,23845,32,111,9,465713,24
574141,79546,Team 10,23jun2013,96,23jun2013 06:30:00,23jun2013 15:30:00,23920,23938,86,304,9,465713,24
765261,106916,Team 8,19jun2013,89,19jun2013 08:00:00,19jun2013 18:00:00,23731,23751,115,408,10,468416,16
122331,18739,Team 13,21jun2013,56,21jun2013 08:00:00,21jun2013 17:30:00,23827,23846,21,70,10,468416,18
794773,111291,Team 11,23jun2013,83,23jun2013 08:00:00,23jun2013 16:00:00,23923,23939,121,436,10,468416,20
877787,127151,Team 1,18jun2013,49,18jun2013 09:00:00,18jun2013 14:00:00,23685,23695,134,471,3,470453,38
571670,79192,Team 12,20jun2013,99,20jun2013 09:00:00,20jun2013 18:30:00,23781,23800,84,294,3,470453,37
773545,108976,Team 10,22jun2013,101,22jun2013 08:00:00,22jun2013 17:30:00,23875,23894,118,421,3,470453,19
501521,71696,Team 1,24jun2013,126,24jun2013 10:30:00,24jun2013 21:00:00,23976,23997,77,270,3,470453,42
138001,20394,Team 8,19jun2013,80,19jun2013 11:00:00,19jun2013 21:00:00,23737,23757,25,87,11,481312,41
496150,70668,Team 10,21jun2013,82,21jun2013 10:00:00,21jun2013 18:00:00,23831,23847,76,263,11,481312,31
808284,114336,Team 1,23jun2013,92,23jun2013 11:00:00,23jun2013 18:30:00,23929,23944,124,448,11,481312,14
537701,75774,Team 8,19jun2013,79,19jun2013 11:00:00,19jun2013 20:30:00,23737,23756,82,284,11,483269,9
70830,11964,Team 5,21jun2013,81,21jun2013 10:30:00,21jun2013 20:30:00,23832,23852,13,44,11,483269,39
887296,129296,Team 14,23jun2013,91,23jun2013 11:00:00,23jun2013 12:30:00,23929,23932,137,484,11,483269,37
283302,41143,Team 6,19jun2013,49,19jun2013 16:00:00,20jun2013 00:00:00,23747,23763,46,158,13,492607,20
383888,54985,Team 3,21jun2013,28,21jun2013 15:30:00,21jun2013 23:00:00,23842,23857,59,204,13,492607,35
283302,41145,Team 6,23jun2013,49,23jun2013 18:00:00,24jun2013 01:30:00,23943,23958,46,160,13,492607,37
465713,64594,Team 9,19jun2013,72,19jun2013 08:30:00,19jun2013 17:00:00,23732,23749,69,238,10,493296,15
236538,37222,Team 1,21jun2013,112,21jun2013 08:00:00,21jun2013 18:00:00,23827,23847,43,149,10,493296,33
