id_unique,Start,End
130746,18jun2013 13:00:00,18jun2013 22:30:00
190413,18jun2013 13:00:00,18jun2013 22:00:00
455584,18jun2013 13:00:00,18jun2013 22:30:00
515269,18jun2013 13:00:00,18jun2013 22:00:00
679841,18jun2013 13:30:00,18jun2013 22:30:00
199617,18jun2013 14:00:00,18jun2013 23:30:00
468416,18jun2013 15:30:00,19jun2013 00:00:00
470453,18jun2013 15:30:00,19jun2013 00:00:00
166419,18jun2013 16:00:00,19jun2013 01:30:00
339824,18jun2013 16:00:00,19jun2013 02:00:00
527408,18jun2013 16:00:00,18jun2013 23:30:00
545569,18jun2013 16:00:00,19jun2013 01:30:00
754948,18jun2013 16:00:00,19jun2013 00:00:00
794773,18jun2013 16:00:00,18jun2013 23:30:00
574141,18jun2013 16:30:00,19jun2013 00:30:00
602783,18jun2013 16:30:00,19jun2013 01:00:00
698808,18jun2013 16:30:00,19jun2013 00:30:00
800017,18jun2013 16:30:00,19jun2013 00:30:00
414877,18jun2013 17:00:00,19jun2013 00:30:00
38178,18jun2013 17:30:00,19jun2013 00:00:00
501521,18jun2013 17:30:00,19jun2013 03:30:00
979505,18jun2013 17:30:00,19jun2013 04:00:00
986245,18jun2013 17:30:00,19jun2013 03:30:00
301623,18jun2013 18:00:00,19jun2013 03:30:00
399447,18jun2013 18:30:00,19jun2013 03:30:00
988180,18jun2013 18:30:00,18jun2013 22:00:00
927082,18jun2013 19:00:00,18jun2013 22:00:00
359142,18jun2013 20:00:00,19jun2013 03:30:00
688028,18jun2013 21:00:00,19jun2013 06:30:00
690937,18jun2013 21:00:00,19jun2013 06:30:00
735428,18jun2013 21:00:00,19jun2013 04:30:00
753239,18jun2013 22:30:00,19jun2013 06:30:00
153707,18jun2013 23:00:00,19jun2013 06:30:00
176945,18jun2013 23:00:00,19jun2013 07:00:00
228236,18jun2013 23:00:00,19jun2013 06:30:00
698855,18jun2013 23:00:00,19jun2013 07:00:00
891194,19jun2013 00:00:00,19jun2013 00:30:00
58138,19jun2013 06:30:00,19jun2013 17:00:00
106879,19jun2013 06:30:00,19jun2013 16:30:00
130307,19jun2013 06:30:00,19jun2013 11:30:00
343038,19jun2013 06:30:00,19jun2013 16:30:00
353379,19jun2013 06:30:00,19jun2013 16:30:00
624150,19jun2013 06:30:00,19jun2013 11:30:00
681130,19jun2013 06:30:00,19jun2013 16:30:00
732892,19jun2013 06:30:00,19jun2013 11:30:00
737874,19jun2013 06:30:00,19jun2013 11:30:00
887296,19jun2013 06:30:00,19jun2013 16:30:00
126333,19jun2013 07:00:00,19jun2013 13:30:00
172469,19jun2013 07:00:00,19jun2013 16:30:00
845061,19jun2013 07:00:00,19jun2013 16:30:00
53300,19jun2013 07:30:00,19jun2013 17:30:00
939721,19jun2013 07:30:00,19jun2013 13:30:00
236538,19jun2013 08:00:00,19jun2013 18:00:00
447058,19jun2013 08:00:00,19jun2013 17:30:00
481312,19jun2013 08:00:00,19jun2013 13:30:00
657288,19jun2013 08:00:00,19jun2013 17:30:00
765261,19jun2013 08:00:00,19jun2013 18:00:00
465713,19jun2013 08:30:00,19jun2013 17:00:00
571670,19jun2013 08:30:00,19jun2013 18:30:00
572207,19jun2013 09:00:00,19jun2013 14:00:00
574789,19jun2013 09:00:00,19jun2013 18:30:00
731314,19jun2013 09:00:00,19jun2013 18:30:00
769213,19jun2013 09:00:00,19jun2013 14:00:00
789283,19jun2013 09:00:00,19jun2013 13:30:00
38791,19jun2013 10:00:00,19jun2013 19:30:00
496150,19jun2013 10:00:00,19jun2013 16:00:00
86173,19jun2013 11:00:00,19jun2013 20:30:00
94083,19jun2013 11:00:00,19jun2013 20:30:00
138001,19jun2013 11:00:00,19jun2013 21:00:00
537701,19jun2013 11:00:00,19jun2013 20:30:00
609904,19jun2013 11:00:00,19jun2013 12:00:00
743773,19jun2013 11:00:00,19jun2013 21:00:00
59950,19jun2013 11:30:00,19jun2013 17:30:00
214894,19jun2013 11:30:00,19jun2013 23:00:00
808284,19jun2013 11:30:00,19jun2013 22:00:00
869646,19jun2013 11:30:00,19jun2013 21:30:00
915075,19jun2013 11:30:00,19jun2013 22:00:00
92872,19jun2013 12:00:00,19jun2013 22:00:00
130746,19jun2013 12:00:00,19jun2013 22:00:00
192578,19jun2013 12:00:00,19jun2013 22:00:00
455584,19jun2013 12:00:00,19jun2013 22:00:00
773545,19jun2013 12:00:00,19jun2013 21:30:00
655988,19jun2013 13:00:00,19jun2013 22:30:00
990611,19jun2013 13:00:00,19jun2013 23:00:00
527408,19jun2013 14:00:00,19jun2013 22:30:00
339824,19jun2013 15:30:00,20jun2013 02:00:00
468416,19jun2013 15:30:00,19jun2013 23:30:00
470453,19jun2013 15:30:00,19jun2013 23:30:00
782352,19jun2013 15:30:00,20jun2013 01:30:00
231145,19jun2013 16:00:00,19jun2013 21:00:00
283302,19jun2013 16:00:00,20jun2013 00:00:00
338397,19jun2013 16:00:00,20jun2013 02:00:00
545569,19jun2013 16:00:00,20jun2013 02:00:00
754948,19jun2013 16:00:00,20jun2013 00:00:00
794773,19jun2013 16:00:00,19jun2013 23:30:00
988180,19jun2013 16:00:00,19jun2013 23:30:00
414877,19jun2013 17:00:00,20jun2013 00:30:00
501521,19jun2013 17:00:00,20jun2013 02:30:00
574141,19jun2013 17:00:00,20jun2013 00:30:00
698808,19jun2013 17:00:00,20jun2013 00:30:00
800017,19jun2013 17:00:00,20jun2013 01:00:00
891194,19jun2013 17:00:00,20jun2013 01:00:00
38178,19jun2013 17:30:00,20jun2013 04:00:00
979505,19jun2013 17:30:00,20jun2013 03:30:00
986245,19jun2013 17:30:00,20jun2013 04:00:00
266851,19jun2013 18:00:00,20jun2013 04:00:00
927082,19jun2013 18:00:00,19jun2013 21:30:00
359142,19jun2013 19:00:00,20jun2013 04:30:00
227085,19jun2013 20:00:00,20jun2013 05:30:00
688028,19jun2013 21:00:00,20jun2013 06:30:00
59950,19jun2013 22:00:00,19jun2013 23:00:00
153707,19jun2013 23:00:00,20jun2013 07:00:00
176945,19jun2013 23:00:00,20jun2013 07:00:00
